PDOid,PDOnam,Administrative_Region,Wine_Region,Designation_Level,min_row_spacing,max_row_spacing,min_plant_spacing,max_plant_spacing,max_area,source,notes
PDO-FR-A0375,Alsace Grand Cru Saering,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4131,
PDO-FR-A0415,Alsace Grand Cru Schlossberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4132,
PDO-FR-A0418,Alsace Grand Cru Schoenenbourg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4133,
PDO-FR-A0416,Alsace Grand Cru Sommerberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4134,
PDO-FR-A0625,Alsace Grand Cru Sonnenglanz,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4135,
PDO-FR-A0345,Alsace Grand Cru Spiegel,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4136,
PDO-FR-A0628,Alsace Grand Cru Sporen,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4137,
PDO-FR-A0344,Alsace Grand Cru Steinert,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4138,
PDO-FR-A0630,Alsace Grand Cru Steingrubler,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4139,
PDO-FR-A0636,Alsace Grand Cru Steinklotz,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4140,
PDO-FR-A0632,Alsace Grand Cru Vorbourg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4141,
PDO-FR-A0638,Alsace Grand Cru Wiebelsberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4142,
PDO-FR-A0633,Alsace Grand Cru Wineck-Schlossberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4143,
PDO-FR-A0641,Alsace Grand Cru Winzenberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4144,
PDO-FR-A0635,Alsace Grand Cru Zinnkoepflé,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4145,
PDO-FR-A0916,Alsace Grand Cru Zotzenberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4146,
PDO-FR-A1101,Alsace/Vin d’Alsace,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/36757,
PDO-FR-A0917,Crémant d’Alsace,Grand Est,Alsace,Crémant,NULL,2.5,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/36099,
PDO-FR-A0934,Beaujolais,Auvergne-Rhône-Alpes,Beaujolais,Regional,NULL,2.5,0.8,NULL,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/19535,
PDO-FR-A0935,Brouilly,Auvergne-Rhône-Alpes,Beaujolais,Cru,NULL,2.2,0.8,NULL,NULL,https://eur-lex.europa.eu/eli/C/2026/2083/oj,
PDO-FR-A1029,Chénas,Auvergne-Rhône-Alpes,Beaujolais,Cru,NULL,2.1,0.8,NULL,NULL,https://eur-lex.europa.eu/eli/C/2025/2242/oj,
PDO-FR-A0911,Chiroubles,Auvergne-Rhône-Alpes,Beaujolais,Cru,NULL,2.1,0.8,NULL,NULL,https://eur-lex.europa.eu/eli/C/2025/2421/oj,
PDO-FR-A1027,Côte de Brouilly,Auvergne-Rhône-Alpes,Beaujolais,Cru,NULL,2.1,0.8,NULL,NULL,https://eur-lex.europa.eu/eli/C/2026/1937/oj,
PDO-FR-A0930,Fleurie,Auvergne-Rhône-Alpes,Beaujolais,Cru,NULL,2.1,0.8,NULL,NULL,https://eur-lex.europa.eu/eli/C/2026/1644/oj,
PDO-FR-A1025,Juliénas,Auvergne-Rhône-Alpes,Beaujolais,Cru,NULL,2.1,0.8,NULL,NULL,https://eur-lex.europa.eu/eli/C/2025/2420/oj,
