IDU,row_spacing,plant_spacing,rmse,points_expected,points_found,area_missing_pct
072590000B0592,2.2,0.9,1.171,1192.0,638.0,46.48
072590000B0594,2.2,0.9,0.991,5397.0,4468.0,17.21
072590000B0601,2.5,0.8,1.143,1125.0,717.0,36.27
072590000B0724,2.3,0.8,1.079,7671.0,5612.0,26.84
072590000B0746,2.2,0.8,1.342,6551.0,2143.0,67.29
072590000B0753,2.1,0.8,1.145,26427.0,18092.0,31.54
072590000B0833,2.2,1.0,0.972,149.0,123.0,17.45
072590000B0925,2.3,1.0,1.084,1611.0,1102.0,31.6
072590000B1123,2.4,0.8,1.408,1896.0,379.0,80.01
072640000A0296,1.8,0.8,1.234,2054.0,1017.0,50.49
072640000A0605,2.2,1.2,1.291,1703.0,630.0,63.01
072640000B0130,2.5,0.8,1.17,1011.0,598.0,40.85
072640000B0178,2.0,0.8,1.252,1022.0,497.0,51.37
072640000B0334,1.4,1.2,1.359,16596.0,5304.0,68.04
072640000F0084,2.5,0.8,1.177,9400.0,5515.0,41.33
072640000G0065,2.3,0.8,1.046,3159.0,2211.0,30.01
072640000G0177,2.0,0.9,1.486,2424.0,79.0,96.74
07264000AB0108,2.1,0.8,1.092,1940.0,1416.0,27.01
07264000AB0111,2.5,0.8,1.087,2413.0,1703.0,29.42
07264000AB0630,2.4,0.8,1.059,2802.0,2059.0,26.52
07264000AC0087,2.3,0.8,1.201,1600.0,820.0,48.75
07264000AC0191,1.9,0.8,1.265,2366.0,1121.0,52.62
07264000AD0135,2.0,0.8,1.119,9395.0,6611.0,29.63
07264000AD0167,2.1,1.2,1.477,955.0,44.0,95.39
07264000AE0013,2.1,0.8,1.207,3174.0,1717.0,45.9
07264000AE0014,2.4,0.8,1.284,5961.0,2456.0,58.8
07264000AE0028,2.4,0.8,1.07,5122.0,3842.0,24.99
07264000AE0062,2.4,0.8,1.126,3163.0,2267.0,28.33
07264000AE0358,1.5,0.8,1.049,4764.0,3690.0,22.54
07264000AH0036,2.1,1.0,1.267,318.0,151.0,52.52
07264000AI0079,1.6,0.8,1.188,2975.0,1980.0,33.45
07264000AK0059,2.5,0.8,0.99,4397.0,3437.0,21.83
07264000AK0113,1.8,0.8,1.058,18707.0,15596.0,16.63
07264000AL0002,2.3,1.2,1.174,2808.0,1848.0,34.19
07264000AL0030,2.3,0.8,0.904,1291.0,1136.0,12.01
07264000AL0064,2.4,0.8,1.095,2490.0,1868.0,24.98
07264000AL0090,2.2,0.8,1.295,12473.0,4851.0,61.11
07264000AL0206,2.4,0.8,1.154,16235.0,10842.0,33.22
07264000AN0034,2.5,0.8,1.211,706.0,380.0,46.18
07264000AN0069,2.5,1.2,1.293,1609.0,653.0,59.42
07264000AN0317,2.5,0.8,1.139,752.0,437.0,41.89
07264000AO0139,2.4,1.2,1.183,947.0,562.0,40.65
07264000AO0194,2.4,0.8,1.04,4980.0,3933.0,21.02
07264000AO0212,2.1,0.8,0.999,1598.0,1290.0,19.27
07264000AP0283,2.3,1.0,1.29,293.0,135.0,53.92
07264000AR0396,1.3,0.8,1.275,24170.0,11765.0,51.32
07264000AS0154,2.3,1.1,1.297,2447.0,1025.0,58.11
07264000AS0159,2.2,0.8,1.022,4815.0,3731.0,22.51
07264000AS0163,2.4,0.9,1.176,6416.0,4128.0,35.66
07264000AV0006,1.5,0.8,1.078,3027.0,2320.0,23.36
07264000AV0021,2.5,0.8,0.965,1834.0,1599.0,12.81
07264000AV0045,2.5,0.8,1.385,554.0,132.0,76.17
07264000AW0031,2.3,0.8,1.159,331.0,183.0,44.71
07264000AX0106,2.5,0.8,1.188,509.0,311.0,38.9
07264000AX0109,2.5,0.8,1.075,3449.0,2659.0,22.91
07264000AX0257,1.6,0.8,1.046,2612.0,2111.0,19.18
07264000AY0127,2.5,0.9,1.033,1001.0,713.0,28.77
07264000AZ0091,2.2,1.0,1.331,3360.0,1038.0,69.11
07264000AZ0153,1.9,1.0,1.074,237.0,188.0,20.68
07264000AZ0159,2.5,1.0,1.233,1378.0,615.0,55.37
07264000AZ0228,2.4,0.8,1.379,973.0,256.0,73.69
07264000AZ0234,2.3,1.2,1.369,1039.0,277.0,73.34
072680000B0091,2.5,0.8,1.153,1523.0,959.0,37.03
072680000B0102,2.5,0.8,1.148,1157.0,795.0,31.29
072680000B0292,2.4,0.8,1.037,3934.0,3069.0,21.99
